text,label
Delivery was late and packaging was damaged 🙏,complaint
Delivery was late and packaging was damaged ASAP,complaint
"Absolutely loved the product, works flawlessly – thanks!",praise
The app keeps crashing after the update – thanks!,complaint
"Fantastic support, resolved my issue in minutes please fix",praise
Feature is confusing and not documented well – thanks!,complaint
Billing page is slow and times out often after update,complaint
"Great experience, team was helpful and quick – thanks!",praise
Delivery was late and packaging was damaged 😡,complaint
"Pathetic service, stop wasting our time ASAP",toxic
Amazing quality and fast delivery – thanks!,praise
Customer support took too long to reply 😡,complaint
"Great experience, team was helpful and quick 😡",praise
"Superb app, intuitive and smooth performance – thanks!",praise
"Support is useless, you people are clueless please fix",toxic
"Support is useless, you people are clueless now",toxic
"Pathetic service, stop wasting our time ASAP",toxic
"Absolutely loved the product, works flawlessly 🙏",praise
"Support is useless, you people are clueless now",toxic
"Pathetic service, stop wasting our time 🙏",toxic
Feature is confusing and not documented well 🙏,complaint
Delivery was late and packaging was damaged please fix,complaint
"Fantastic support, resolved my issue in minutes ASAP",praise
Feature is confusing and not documented well – thanks!,complaint
Delivery was late and packaging was damaged after update,complaint
"Great experience, team was helpful and quick 😡",praise
"Great experience, team was helpful and quick – thanks!",praise
This app is stupid and broken after update,toxic
Billing page is slow and times out often please fix,complaint
"What a joke, learn to build software after update",toxic
"Fantastic support, resolved my issue in minutes",praise
Billing page is slow and times out often please fix,complaint
Amazing quality and fast delivery,praise
"What a joke, learn to build software ASAP",toxic
Customer support took too long to reply – thanks!,complaint
"Pathetic service, stop wasting our time ASAP",toxic
"Fantastic support, resolved my issue in minutes please fix",praise
The app keeps crashing after the update after update,complaint
This app is stupid and broken,toxic
"Great experience, team was helpful and quick",praise
"Superb app, intuitive and smooth performance now",praise
"Fantastic support, resolved my issue in minutes ASAP",praise
Feature is confusing and not documented well after update,complaint
"Fantastic support, resolved my issue in minutes ASAP",praise
"What a joke, learn to build software 😡",toxic
"Your product is garbage, worst thing I bought – thanks!",toxic
"Absolutely loved the product, works flawlessly – thanks!",praise
"Support is useless, you people are clueless ASAP",toxic
Feature is confusing and not documented well after update,complaint
"Superb app, intuitive and smooth performance after update",praise
The app keeps crashing after the update – thanks!,complaint
"Superb app, intuitive and smooth performance – thanks!",praise
Amazing quality and fast delivery 😡,praise
Feature is confusing and not documented well 🙏,complaint
"Superb app, intuitive and smooth performance 🙏",praise
This app is stupid and broken,toxic
"Absolutely loved the product, works flawlessly",praise
Delivery was late and packaging was damaged after update,complaint
Billing page is slow and times out often please fix,complaint
Feature is confusing and not documented well 🙏,complaint
"Your product is garbage, worst thing I bought 🙏",toxic
"Fantastic support, resolved my issue in minutes 😡",praise
Amazing quality and fast delivery now,praise
"Support is useless, you people are clueless – thanks!",toxic
"What a joke, learn to build software ASAP",toxic
"Great experience, team was helpful and quick now",praise
"Great experience, team was helpful and quick – thanks!",praise
"Your product is garbage, worst thing I bought ASAP",toxic
"Absolutely loved the product, works flawlessly",praise
Amazing quality and fast delivery,praise
"Superb app, intuitive and smooth performance now",praise
This app is stupid and broken please fix,toxic
"Absolutely loved the product, works flawlessly 🙏",praise
Billing page is slow and times out often after update,complaint
"Pathetic service, stop wasting our time now",toxic
"Support is useless, you people are clueless after update",toxic
The app keeps crashing after the update please fix,complaint
The app keeps crashing after the update please fix,complaint
"Your product is garbage, worst thing I bought 🙏",toxic
Delivery was late and packaging was damaged now,complaint
"Your product is garbage, worst thing I bought",toxic
Customer support took too long to reply after update,complaint
This app is stupid and broken please fix,toxic
Billing page is slow and times out often 😡,complaint
"Support is useless, you people are clueless 😡",toxic
Delivery was late and packaging was damaged 🙏,complaint
Customer support took too long to reply ASAP,complaint
The app keeps crashing after the update now,complaint
"What a joke, learn to build software 😡",toxic
Customer support took too long to reply 😡,complaint
Billing page is slow and times out often,complaint
"Superb app, intuitive and smooth performance – thanks!",praise
This app is stupid and broken now,toxic
Customer support took too long to reply 🙏,complaint
Customer support took too long to reply,complaint
"Pathetic service, stop wasting our time 😡",toxic
"Superb app, intuitive and smooth performance",praise
"Fantastic support, resolved my issue in minutes – thanks!",praise
This app is stupid and broken ASAP,toxic
"Absolutely loved the product, works flawlessly ASAP",praise
The app keeps crashing after the update 🙏,complaint
Amazing quality and fast delivery 😡,praise
"Absolutely loved the product, works flawlessly 😡",praise
Amazing quality and fast delivery now,praise
"What a joke, learn to build software 😡",toxic
"What a joke, learn to build software please fix",toxic
"Your product is garbage, worst thing I bought",toxic
"Pathetic service, stop wasting our time – thanks!",toxic
Billing page is slow and times out often – thanks!,complaint
"Your product is garbage, worst thing I bought after update",toxic
"Your product is garbage, worst thing I bought after update",toxic
This app is stupid and broken ASAP,toxic
Amazing quality and fast delivery,praise
Customer support took too long to reply ASAP,complaint
Feature is confusing and not documented well – thanks!,complaint
"Pathetic service, stop wasting our time now",toxic
"Great experience, team was helpful and quick now",praise
"Support is useless, you people are clueless 😡",toxic
The app keeps crashing after the update after update,complaint
"What a joke, learn to build software please fix",toxic
